Latitude (decimal degrees):	58.832
Longitude (decimal degrees):	5.773
Elevation (m):	117
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,0.0,-0.04,2.76,0.0
20230101:0111,0.0,0.0,0.0,0.0,-0.45,2.9,0.0
20230101:0211,0.0,0.0,0.0,0.0,-0.69,3.1,0.0
20230101:0311,0.0,0.0,0.0,0.0,-1.01,3.03,0.0
20230101:0411,0.0,0.0,0.0,0.0,-1.29,3.03,0.0
20230101:0511,0.0,0.0,0.0,0.0,-1.63,3.03,0.0
20230101:0611,0.0,0.0,0.0,0.0,-1.87,2.9,0.0
20230101:0711,0.0,0.0,0.0,0.0,-2.17,3.24,0.0
20230101:0811,0.0,0.0,0.0,0.0,-2.42,3.24,0.0
20230101:0911,0.0,6.0,0.0,2.57,-2.23,3.17,0.0
20230101:1011,4.0,39.0,0.0,6.11,-1.1,3.31,0.0
20230101:1111,1.0,43.0,0.0,7.94,0.02,3.72,0.0
20230101:1211,20.0,57.0,0.0,7.91,0.45,4.14,0.0
20230101:1311,0.0,12.0,0.0,6.02,0.52,4.62,0.0
20230101:1411,0.0,7.0,0.0,2.42,0.28,4.9,0.0
20230101:1511,0.0,0.0,0.0,0.0,0.07,4.76,0.0
20230101:1611,0.0,0.0,0.0,0.0,0.08,4.62,0.0
20230101:1711,0.0,0.0,0.0,0.0,0.06,4.34,0.0
20230101:1811,0.0,0.0,0.0,0.0,0.02,4.21,0.0
20230101:1911,0.0,0.0,0.0,0.0,0.56,3.17,0.0
20230101:2011,0.0,0.0,0.0,0.0,0.58,3.59,0.0
20230101:2111,0.0,0.0,0.0,0.0,0.83,3.59,0.0
20230101:2211,0.0,0.0,0.0,0.0,0.97,3.59,0.0
20230101:2311,0.0,0.0,0.0,0.0,1.11,3.86,0.0
20230102:0011,0.0,0.0,0.0,0.0,1.14,3.79,0.0
20230102:0111,0.0,0.0,0.0,0.0,0.96,3.72,0.0
20230102:0211,0.0,0.0,0.0,0.0,1.07,3.79,0.0
20230102:0311,0.0,0.0,0.0,0.0,1.12,3.86,0.0
20230102:0411,0.0,0.0,0.0,0.0,1.22,3.79,0.0
20230102:0511,0.0,0.0,0.0,0.0,0.94,3.72,0.0
20230102:0611,0.0,0.0,0.0,0.0,1.06,3.79,0.0
20230102:0711,0.0,0.0,0.0,0.0,1.9,3.72,0.0
20230102:0811,0.0,0.0,0.0,0.0,1.96,3.72,0.0
20230102:0911,0.0,2.0,0.0,2.62,1.9,3.66,0.0
20230102:1011,0.0,19.0,0.0,6.18,1.99,3.52,0.0
20230102:1111,0.0,14.0,0.0,8.02,2.11,3.31,0.0
20230102:1211,0.0,37.0,0.0,8.0,2.09,3.59,0.0
20230102:1311,0.0,12.0,0.0,6.12,1.84,3.66,0.0
20230102:1411,6.0,10.85,0.0,2.53,1.74,3.86,0.0
20230102:1511,0.0,0.0,0.0,0.0,1.82,4.07,0.0
20230102:1611,0.0,0.0,0.0,0.0,1.82,4.34,0.0
20230102:1711,0.0,0.0,0.0,0.0,1.95,4.69,0.0
20230102:1811,0.0,0.0,0.0,0.0,1.98,4.83,0.0
20230102:1911,0.0,0.0,0.0,0.0,2.11,4.28,0.0
20230102:2011,0.0,0.0,0.0,0.0,2.19,4.21,0.0
20230102:2111,0.0,0.0,0.0,0.0,2.28,3.66,0.0
20230102:2211,0.0,0.0,0.0,0.0,2.28,3.03,0.0
20230102:2311,0.0,0.0,0.0,0.0,2.35,2.41,0.0
20230103:0011,0.0,0.0,0.0,0.0,2.37,1.59,0.0
20230103:0111,0.0,0.0,0.0,0.0,2.2,0.48,0.0
20230103:0211,0.0,0.0,0.0,0.0,2.38,0.41,0.0
20230103:0311,0.0,0.0,0.0,0.0,2.54,0.41,0.0
20230103:0411,0.0,0.0,0.0,0.0,2.39,0.48,0.0
20230103:0511,0.0,0.0,0.0,0.0,1.03,0.76,0.0
20230103:0611,0.0,0.0,0.0,0.0,0.16,1.38,0.0
20230103:0711,0.0,0.0,0.0,0.0,-0.3,1.93,0.0
20230103:0811,0.0,0.0,0.0,0.0,-0.08,2.14,0.0
20230103:0911,0.0,14.0,0.0,2.67,0.19,2.62,0.0
20230103:1011,46.01,34.0,0.0,6.25,1.61,3.1,0.0
20230103:1111,53.01,49.0,0.0,8.1,3.37,3.66,0.0
20230103:1211,8.0,55.0,0.0,8.1,3.5,4.14,0.0
20230103:1311,8.0,41.0,0.0,6.23,3.54,4.48,0.0
20230103:1411,0.0,4.0,0.0,2.65,3.54,4.83,0.0
20230103:1511,0.0,0.0,0.0,0.0,3.57,5.24,0.0
20230103:1611,0.0,0.0,0.0,0.0,3.55,5.86,0.0
20230103:1711,0.0,0.0,0.0,0.0,3.4,6.55,0.0
20230103:1811,0.0,0.0,0.0,0.0,3.15,7.31,0.0
20230103:1911,0.0,0.0,0.0,0.0,3.43,7.72,0.0
20230103:2011,0.0,0.0,0.0,0.0,3.47,8.14,0.0
20230103:2111,0.0,0.0,0.0,0.0,3.43,8.48,0.0
20230103:2211,0.0,0.0,0.0,0.0,3.25,8.97,0.0
20230103:2311,0.0,0.0,0.0,0.0,3.29,9.31,0.0
20230104:0011,0.0,0.0,0.0,0.0,3.38,9.52,0.0
20230104:0111,0.0,0.0,0.0,0.0,3.63,9.52,0.0
20230104:0211,0.0,0.0,0.0,0.0,3.66,9.38,0.0
20230104:0311,0.0,0.0,0.0,0.0,3.46,9.38,0.0
20230104:0411,0.0,0.0,0.0,0.0,3.19,9.45,0.0
20230104:0511,0.0,0.0,0.0,0.0,3.09,9.52,0.0
20230104:0611,0.0,0.0,0.0,0.0,2.71,9.45,0.0
20230104:0711,0.0,0.0,0.0,0.0,3.43,10.14,0.0
20230104:0811,0.0,0.0,0.0,0.0,3.47,10.76,0.0
20230104:0911,0.0,2.0,0.0,2.74,2.69,11.03,0.0
20230104:1011,0.0,17.0,0.0,6.33,3.02,10.83,0.0
20230104:1111,0.0,22.0,0.0,8.2,2.83,10.34,0.0
20230104:1211,0.0,27.0,0.0,8.21,2.54,10.14,0.0
20230104:1311,33.0,38.0,0.0,6.35,2.23,9.72,0.0
20230104:1411,7.0,12.57,0.0,2.78,1.8,9.31,0.0
20230104:1511,0.0,0.0,0.0,0.0,1.51,9.24,0.0
20230104:1611,0.0,0.0,0.0,0.0,1.2,9.1,0.0
20230104:1711,0.0,0.0,0.0,0.0,0.86,8.55,0.0
20230104:1811,0.0,0.0,0.0,0.0,0.61,8.0,0.0
20230104:1911,0.0,0.0,0.0,0.0,0.53,7.38,0.0
20230104:2011,0.0,0.0,0.0,0.0,0.56,6.48,0.0
20230104:2111,0.0,0.0,0.0,0.0,0.61,5.45,0.0
20230104:2211,0.0,0.0,0.0,0.0,0.54,4.21,0.0
20230104:2311,0.0,0.0,0.0,0.0,0.58,3.1,0.0
20230105:0011,0.0,0.0,0.0,0.0,0.58,2.34,0.0
20230105:0111,0.0,0.0,0.0,0.0,0.54,1.45,0.0
20230105:0211,0.0,0.0,0.0,0.0,0.36,0.76,0.0
20230105:0311,0.0,0.0,0.0,0.0,0.49,0.76,0.0
20230105:0411,0.0,0.0,0.0,0.0,0.53,1.38,0.0
20230105:0511,0.0,0.0,0.0,0.0,0.5,1.59,0.0
20230105:0611,0.0,0.0,0.0,0.0,0.49,1.79,0.0
20230105:0711,0.0,0.0,0.0,0.0,0.8,3.38,0.0
20230105:0811,0.0,0.0,0.0,0.0,0.73,4.21,0.0
20230105:0911,0.0,3.0,0.0,2.81,0.64,4.97,0.0
20230105:1011,0.0,7.0,0.0,6.41,0.58,5.52,0.0
20230105:1111,0.0,14.0,0.0,8.3,0.51,5.93,0.0
20230105:1211,0.0,10.0,0.0,8.32,0.43,6.34,0.0
20230105:1311,15.0,44.0,0.0,6.48,0.26,6.76,0.0
20230105:1411,0.0,2.0,0.0,2.91,0.02,6.97,0.0
20230105:1511,0.0,0.0,0.0,0.0,-0.14,7.31,0.0
20230105:1611,0.0,0.0,0.0,0.0,-0.31,7.66,0.0
20230105:1711,0.0,0.0,0.0,0.0,-0.32,7.93,0.0
20230105:1811,0.0,0.0,0.0,0.0,-0.31,8.14,0.0
20230105:1911,0.0,0.0,0.0,0.0,-0.2,8.48,0.0
20230105:2011,0.0,0.0,0.0,0.0,-0.07,8.76,0.0
20230105:2111,0.0,0.0,0.0,0.0,0.05,8.9,0.0
20230105:2211,0.0,0.0,0.0,0.0,0.34,9.66,0.0
20230105:2311,0.0,0.0,0.0,0.0,0.71,10.21,0.0
20230106:0011,0.0,0.0,0.0,0.0,0.87,10.83,0.0
20230106:0111,0.0,0.0,0.0,0.0,1.08,10.9,0.0
20230106:0211,0.0,0.0,0.0,0.0,1.44,11.1,0.0
20230106:0311,0.0,0.0,0.0,0.0,2.12,11.86,0.0
20230106:0411,0.0,0.0,0.0,0.0,2.54,11.79,0.0
20230106:0511,0.0,0.0,0.0,0.0,2.2,11.38,0.0
20230106:0611,0.0,0.0,0.0,0.0,2.23,10.69,0.0
20230106:0711,0.0,0.0,0.0,0.0,2.13,9.79,0.0
20230106:0811,0.0,0.0,0.0,0.0,2.46,8.97,0.0
20230106:0911,0.0,14.0,0.0,2.89,2.5,8.28,0.0
20230106:1011,4.0,39.0,0.0,6.51,2.52,7.72,0.0
20230106:1111,8.0,56.0,0.0,8.41,2.69,7.31,0.0
20230106:1211,0.0,12.0,0.0,8.44,3.07,7.1,0.0
20230106:1311,0.0,18.0,0.0,6.61,2.65,6.9,0.0
20230106:1411,0.0,2.0,0.0,3.05,3.01,6.21,0.0
20230106:1511,0.0,0.0,0.0,0.0,3.43,5.31,0.0
20230106:1611,0.0,0.0,0.0,0.0,3.69,4.83,0.0
20230106:1711,0.0,0.0,0.0,0.0,4.01,5.17,0.0
20230106:1811,0.0,0.0,0.0,0.0,4.35,5.72,0.0
20230106:1911,0.0,0.0,0.0,0.0,4.89,6.41,0.0
20230106:2011,0.0,0.0,0.0,0.0,5.23,6.48,0.0
20230106:2111,0.0,0.0,0.0,0.0,5.4,6.62,0.0
20230106:2211,0.0,0.0,0.0,0.0,5.94,6.14,0.0
20230106:2311,0.0,0.0,0.0,0.0,5.82,4.9,0.0
20230107:0011,0.0,0.0,0.0,0.0,5.46,3.93,0.0
20230107:0111,0.0,0.0,0.0,0.0,5.15,4.0,0.0
20230107:0211,0.0,0.0,0.0,0.0,5.16,4.0,0.0
20230107:0311,0.0,0.0,0.0,0.0,5.0,4.14,0.0
20230107:0411,0.0,0.0,0.0,0.0,4.84,4.62,0.0
20230107:0511,0.0,0.0,0.0,0.0,4.66,5.38,0.0
20230107:0611,0.0,0.0,0.0,0.0,4.98,6.07,0.0
20230107:0711,0.0,0.0,0.0,0.0,4.84,6.69,0.0
20230107:0811,0.0,0.0,0.0,0.0,5.2,7.45,0.0
20230107:0911,0.0,2.0,0.0,2.97,5.52,8.0,0.0
20230107:1011,0.0,9.0,0.0,6.61,5.86,8.41,0.0
20230107:1111,0.0,13.0,0.0,8.52,6.1,8.21,0.0
20230107:1211,0.0,13.0,0.0,8.57,5.89,8.14,0.0
20230107:1311,0.0,10.0,0.0,6.75,6.29,8.28,0.0
20230107:1411,0.0,2.0,0.0,3.2,6.61,8.55,0.0
20230107:1511,0.0,0.0,0.0,0.0,6.81,8.76,0.0
20230107:1611,0.0,0.0,0.0,0.0,6.97,8.9,0.0
20230107:1711,0.0,0.0,0.0,0.0,6.85,9.17,0.0
20230107:1811,0.0,0.0,0.0,0.0,6.74,9.52,0.0
20230107:1911,0.0,0.0,0.0,0.0,7.0,9.79,0.0
20230107:2011,0.0,0.0,0.0,0.0,6.6,9.72,0.0
20230107:2111,0.0,0.0,0.0,0.0,6.51,9.31,0.0
20230107:2211,0.0,0.0,0.0,0.0,6.36,8.97,0.0
20230107:2311,0.0,0.0,0.0,0.0,6.22,8.76,0.0
20230108:0011,0.0,0.0,0.0,0.0,6.07,8.41,0.0
20230108:0111,0.0,0.0,0.0,0.0,6.03,8.28,0.0
20230108:0211,0.0,0.0,0.0,0.0,6.06,8.0,0.0
20230108:0311,0.0,0.0,0.0,0.0,6.1,7.45,0.0
20230108:0411,0.0,0.0,0.0,0.0,6.23,7.52,0.0
