Latitude (deg.): 43.743
Longitude (deg.): 7.429

A		H_hor		A_sun(w)		H_sun(w)		A_sun(s)		H_sun(s)
-180.0		17.6		-180.0		0.0		-180.0		0.0
-172.5		16.4		-160.7		0.0		-172.6		0.0
-165.0		13.4		-143.9		0.0		-165.2		0.0
-157.5		12.6		-130.4		0.0		-158.1		0.0
-150.0		10.7		-119.7		0.0		-151.3		0.0
-142.5		7.6		-111.1		0.0		-144.8		0.0
-135.0		4.6		-103.9		0.0		-138.6		0.0
-127.5		3.1		-97.7		0.0		-132.8		0.0
-120.0		2.3		-92.1		0.0		-127.3		0.0
-112.5		1.5		-87.0		0.0		-122.0		1.2
-105.0		0.4		-82.1		0.0		-117.0		5.9
-97.5		0.0		-77.3		0.0		-112.2		10.9
-90.0		0.0		-72.6		0.0		-107.4		16.0
-82.5		0.0		-67.8		0.0		-102.7		21.2
-75.0		0.0		-63.0		0.0		-97.9		26.5
-67.5		0.0		-58.0		0.0		-93.0		31.9
-60.0		0.0		-52.7		3.2		-87.9		37.3
-52.5		0.0		-47.2		7.4		-82.3		42.7
-45.0		0.0		-41.4		11.2		-76.1		48.1
-37.5		0.0		-35.2		14.5		-68.9		53.2
-30.0		0.0		-28.7		17.4		-60.3		58.1
-22.5		0.0		-21.9		19.7		-49.6		62.6
-15.0		0.0		-14.8		21.4		-36.1		66.3
-7.5		0.0		-7.4		22.5		-19.3		68.8
0.0		1.1		0.0		22.8		0.0		69.7
7.5		1.9		7.4		22.5		19.3		68.8
15.0		2.7		14.8		21.4		36.1		66.3
22.5		6.5		21.9		19.7		49.6		62.6
30.0		6.5		28.7		17.4		60.3		58.1
37.5		18.3		35.2		14.5		68.9		53.2
45.0		18.3		41.4		11.2		76.1		48.1
52.5		18.3		47.2		7.4		82.3		42.7
60.0		18.3		52.7		3.2		87.9		37.3
67.5		18.3		58.0		0.0		93.0		31.9
75.0		18.3		63.0		0.0		97.9		26.5
82.5		18.3		67.8		0.0		102.7		21.2
90.0		18.3		72.6		0.0		107.4		16.0
97.5		18.3		77.3		0.0		112.2		10.9
105.0		18.3		82.1		0.0		117.0		5.9
112.5		18.3		87.0		0.0		122.0		1.2
120.0		18.3		92.1		0.0		127.3		0.0
127.5		18.3		97.7		0.0		132.8		0.0
135.0		18.3		103.9		0.0		138.6		0.0
142.5		18.3		111.1		0.0		144.8		0.0
150.0		19.1		119.7		0.0		151.3		0.0
157.5		18.7		130.4		0.0		158.1		0.0
165.0		18.7		143.9		0.0		165.2		0.0
172.5		18.0		160.7		0.0		172.6		0.0
180.0		17.6		180.0		0.0		180.0		0.0

A: Azimuth (0 = S, 90 = W, -90 = E) (degree)
H_hor: Horizon height (degree)
A_sun(w): Sun azimuth in the winter solstice (Dec 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(w): Sun height in the winter solstice (Dec 21) (degree)
A_sun(s): Sun azimuth in the summer solstice (June 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(s): Sun height in the summer solstice (June 21) (degree)

PVGIS (c) European Union, 2001-2026
